"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,6340.32172,26344.13061,155.21689,9538.91813,209.60082,53.68633,8.93364
1,6233.02587,32203.58092,193.44873,20139.9925,405.52632,111.17639,13.25156
1,6205.60865,41293.52536,112.62937,5535.34136,352.06009,115.23279,17.36211
1,6399.1477,42507.50238,264.97608,40702.07356,140.85685,124.43338,13.66227
1,6292.14719,47046.30107,157.72671,17116.68129,260.50401,77.35863,7.36981
1,6318.71553,52232.33534,167.83752,13840.45711,343.1989,86.94393,11.45414
1,6327.62697,2804.6889,136.97311,11634.42061,561.0305,131.65145,13.78505
1,6098.10061,6032.48912,507.90072,249460.43051,37.88999,100.46255,6.65714
1,6237.2693,6750.64076,238.37544,20438.01405,612.55908,89.64633,15.91623
1,6400.84104,12599.27497,143.09604,17231.43083,777.78015,115.75766,8.96117
1,6331.97494,28920.63098,106.82622,3845.58337,265.15353,43.38168,8.75005
1,6378.95498,37726.4826,133.59098,10511.50561,393.40277,94.1553,10.46016
1,6395.1058,39933.41809,89.5567,4228.52214,370.00444,95.30328,12.22274
1,6380.20077,47573.60424,114.85482,10636.5926,353.96918,86.3221,7.1353
1,6471.36216,17346.67463,87.50649,2525.66896,404.47311,82.46799,16.92347
1,6633.85831,31403.74884,254.23227,19822.63358,301.55745,58.85243,12.35272
1,6677.90193,37254.50349,199.90858,10060.44571,416.75958,85.22618,21.65735
1,6487.61169,50610.59041,168.89894,11220.53736,432.87598,97.59417,15.97806
1,6579.31405,3434.3042,164.62136,19932.85641,600.11804,135.11845,11.83864
1,6571.99193,8151.97813,175.79125,23303.29512,560.70401,126.75786,10.82219
1,6508.62314,8868.20205,137.10805,13465.13758,503.93056,120.10532,10.91834
1,6596.37535,13101.00638,205.37606,28953.72416,675.51969,94.03459,8.83609
1,6529.88252,14933.72136,153.30986,13580.34161,492.23673,69.6686,7.91949
1,6624.93391,19354.4915,237.24052,18751.08803,250.29254,77.25712,14.84427
1,6517.78353,25651.22283,83.1012,1740.01506,223.55045,66.60505,18.04739
1,6493.32339,28134.64354,109.06413,4390.16176,306.14872,57.36963,10.41099
1,6354.66734,33148.08505,335.92643,49715.92566,403.3898,108.2227,15.59149
1,6531.42887,44643.15755,207.63814,17362.6224,162.71509,97.71779,15.53212
1,6592.75786,1976.98076,128.92518,15078.86229,454.61892,115.99718,8.38611
1,6533.34454,4368.67997,409.56491,106656.90987,198.75922,138.7163,13.81257
1,6581.02764,40930.98659,93.51033,3940.7357,387.84839,129.65001,19.23207
1,6623.50087,42322.51232,310.12132,57446.01101,102.34368,121.36835,12.91535
1,6651.97896,7609.64147,93.27984,4447.26286,697.86445,86.67163,11.43339
1,6775.14629,15896.23064,237.72687,29711.79277,403.25129,121.29378,14.7057
1,6600.83626,19330.75775,239.88129,17121.9158,278.41924,81.78108,17.54859
1,6711.52031,21744.8902,122.31774,3540.67516,209.04209,47.96071,13.43242
1,6577.02769,31445.46172,238.56125,15247.22344,337.27985,64.07063,15.33727
1,6617.41107,33044.15903,244.38844,21524.32128,443.59385,86.41235,15.3164
1,6629.77407,33666.02241,690.27615,268730.70656,0,85.89996,9.71179
1,6749.04202,36066.44185,261.42059,61956.61418,241.12011,138.84064,9.76933
1,6635.74856,44454.50182,130.37403,5752.14364,277.66907,89.21598,17.19061
1,6786.39555,49663.60301,211.01117,18670.4564,393.07856,93.12482,14.22903
